study_name,instrument_name,question_name,concept_name
soep-is,soep-is-2011,q1,lela
soep-is,soep-is-2011,a000c,name
soep-is,soep-is-2011,a000c,lsex
soep-is,soep-is-2011,a000c,lgeb
soep-is,soep-is-2011,a000c,lgebmo
soep-is,soep-is-2011,q8,hvj
soep-is,soep-is-2011,q9,hwj
soep-is,soep-is-2011,q9,hwm
soep-is,soep-is-2011,q10,hhtyp
soep-is,soep-is-2011,q11,hheim
soep-is,soep-is-2011,q12,hwohn09
soep-is,soep-is-2011,q13.1,hwohn09a
soep-is,soep-is-2011,q13.2,hwohn09a
soep-is,soep-is-2011,q13.3,hwohn09a
soep-is,soep-is-2011,q13.4,hwohn09a
soep-is,soep-is-2011,q14,hqm
soep-is,soep-is-2011,q15,hwohn08
soep-is,soep-is-2011,q16,hzus
soep-is,soep-is-2011,q17,hh01
soep-is,soep-is-2011,q17,hh02
soep-is,soep-is-2011,q17,hh11
soep-is,soep-is-2011,q17,hh03
soep-is,soep-is-2011,q17,hh05
soep-is,soep-is-2011,q17,hh06
soep-is,soep-is-2011,q17,hh07
soep-is,soep-is-2011,q17,hh08
soep-is,soep-is-2011,q17,hh09
soep-is,soep-is-2011,q17,hh10
soep-is,soep-is-2011,q17,hh04
soep-is,soep-is-2011,q17a,hh01a
soep-is,soep-is-2011,q17b,hh02a
soep-is,soep-is-2011,q17c,hh11a
soep-is,soep-is-2011,q17d,hh03a
soep-is,soep-is-2011,q17e,hh05a
soep-is,soep-is-2011,q17f,hh06a
soep-is,soep-is-2011,q17g,hh07a
soep-is,soep-is-2011,q17h,hh08a
soep-is,soep-is-2011,q17i,hh09a
soep-is,soep-is-2011,q17j,hh10a
soep-is,soep-is-2011,q17k,hh04a
soep-is,soep-is-2011,q18,hm01
soep-is,soep-is-2011,q19,hm04
soep-is,soep-is-2011,q19,hm05
soep-is,soep-is-2011,q20,hm06
soep-is,soep-is-2011,q21,hm09
soep-is,soep-is-2011,q22,hm10
soep-is,soep-is-2011,q22,hm11
soep-is,soep-is-2011,q23,hzahl
soep-is,soep-is-2011,q24,he01
soep-is,soep-is-2011,q25,he02
soep-is,soep-is-2011,q25b,hzahl1
soep-is,soep-is-2011,q26,he03
soep-is,soep-is-2011,q27,he05
soep-is,soep-is-2011,q28,he06
soep-is,soep-is-2011,q29,he07
soep-is,soep-is-2011,q30,hverm1
soep-is,soep-is-2011,q31,hverm2
soep-is,soep-is-2011,q32a,hverm3
soep-is,soep-is-2011,q32b,hverm4
soep-is,soep-is-2011,q33,hkred1
soep-is,soep-is-2011,q34,hkred2
soep-is,soep-is-2011,q35,hwa
soep-is,soep-is-2011,q36,hzins1
soep-is,soep-is-2011,q37,hzins2
soep-is,soep-is-2011,q38,hdkg1
soep-is,soep-is-2011,q38,hdkz1
soep-is,soep-is-2011,q38,hdag1
soep-is,soep-is-2011,q38,hdpg1
soep-is,soep-is-2011,q38,hdsh1
soep-is,soep-is-2011,q38,hdgs1
soep-is,soep-is-2011,q38,hdwg1
soep-is,soep-is-2011,q39,hdkg2
soep-is,soep-is-2011,q40,hdkg3
soep-is,soep-is-2011,q41,hdkz2
soep-is,soep-is-2011,q42,hdag2
soep-is,soep-is-2011,q43,hdpg2
soep-is,soep-is-2011,q44,hdsh2
soep-is,soep-is-2011,q45,hdgs2
soep-is,soep-is-2011,q46,hdwg2
soep-is,soep-is-2011,q47,hnetto
soep-is,soep-is-2011,q47n1,znetto
soep-is,soep-is-2011,q48,hspar1
soep-is,soep-is-2011,q48.1,hspar2
soep-is,soep-is-2011,q49,hpfleg
soep-is,soep-is-2011,q50,hpstuf
soep-is,soep-is-2011,q52,pzuf01
soep-is,soep-is-2011,q52,pzuf20
soep-is,soep-is-2011,q52,pzuf02
soep-is,soep-is-2011,q52,pzuf04
soep-is,soep-is-2011,q52,pzuf05
soep-is,soep-is-2011,q52,pzuf07
soep-is,soep-is-2011,q52,pzuf08
soep-is,soep-is-2011,q52,pzuf13
soep-is,soep-is-2011,q53,pgef1
soep-is,soep-is-2011,q53,pgef2
soep-is,soep-is-2011,q53,pgef3
soep-is,soep-is-2011,q53,pgef4
soep-is,soep-is-2011,q54,prisk
soep-is,soep-is-2011,q55,ieigiat04
soep-is,soep-is-2011,q55,ieigiat01
soep-is,soep-is-2011,q55,ieigiat03
soep-is,soep-is-2011,q55,ieigiat02
soep-is,soep-is-2011,q56m,ityp101
soep-is,soep-is-2011,q56m,ityp102
soep-is,soep-is-2011,q56m,ityp103
soep-is,soep-is-2011,q56m,ityp104
soep-is,soep-is-2011,q56m,ityp105
soep-is,soep-is-2011,q56m,ityp106
soep-is,soep-is-2011,q56m,ityp107
soep-is,soep-is-2011,q56m,ityp108
soep-is,soep-is-2011,q56m,ityp109
soep-is,soep-is-2011,q56m,ityp110
soep-is,soep-is-2011,q56m,ityp111
soep-is,soep-is-2011,q56m,ityp112
soep-is,soep-is-2011,q56m,ityp113
soep-is,soep-is-2011,q56m,ityp114
soep-is,soep-is-2011,q56m,ityp115
soep-is,soep-is-2011,q57f,ityp201
soep-is,soep-is-2011,q57f,ityp202
soep-is,soep-is-2011,q57f,ityp203
soep-is,soep-is-2011,q57f,ityp204
soep-is,soep-is-2011,q57f,ityp205
soep-is,soep-is-2011,q57f,ityp206
soep-is,soep-is-2011,q57f,ityp207
soep-is,soep-is-2011,q57f,ityp208
soep-is,soep-is-2011,q57f,ityp209
soep-is,soep-is-2011,q57f,ityp210
soep-is,soep-is-2011,q57f,ityp211
soep-is,soep-is-2011,q57f,ityp212
soep-is,soep-is-2011,q57f,ityp213
soep-is,soep-is-2011,q57f,ityp214
soep-is,soep-is-2011,q57f,ityp215
soep-is,soep-is-2011,q58,ppol1
soep-is,soep-is-2011,q59,ppol2
soep-is,soep-is-2011,q60,ppol3
soep-is,soep-is-2011,q60,ppolso
soep-is,soep-is-2011,q60b,porg1
soep-is,soep-is-2011,q60b,porg2
soep-is,soep-is-2011,q60b,porg3
soep-is,soep-is-2011,q60b,porg4
soep-is,soep-is-2011,q60b,porg5
soep-is,soep-is-2011,q61,pfz1
soep-is,soep-is-2011,q61,pfz2
soep-is,soep-is-2011,q61,pfz3
soep-is,soep-is-2011,q61,pfz4
soep-is,soep-is-2011,q61,pfz5
soep-is,soep-is-2011,q61,pfz6
soep-is,soep-is-2011,q61,pfz7
soep-is,soep-is-2011,q61,pfz8
soep-is,soep-is-2011,q61,pfz9
soep-is,soep-is-2011,q62,psta1
soep-is,soep-is-2011,q63,ppnat
soep-is,soep-is-2011,q64,pfamst
soep-is,soep-is-2011,q65,pp1
soep-is,soep-is-2011,q66,pp2
soep-is,soep-is-2011,q67,lsta1
soep-is,soep-is-2011,q68,lsta2
soep-is,soep-is-2011,q69,lzug01
soep-is,soep-is-2011,q70,lsta1a
soep-is,soep-is-2011,q71,lpnat
soep-is,soep-is-2011,q72,lsta3
soep-is,soep-is-2011,q74,pp1a
soep-is,soep-is-2011,q75,ppnam
soep-is,soep-is-2011,q76,ppja
soep-is,soep-is-2011,q77,pp2a
soep-is,soep-is-2011,q78,ppleb1a
soep-is,soep-is-2011,q79,ppleba
soep-is,soep-is-2011,q80,pplebja
soep-is,soep-is-2011,q81,pehe1a
soep-is,soep-is-2011,q81b,pehe2a
soep-is,soep-is-2011,q83,pp1b
soep-is,soep-is-2011,q84,ppjb
soep-is,soep-is-2011,q85,ppendb
soep-is,soep-is-2011,q86,ppend2b
soep-is,soep-is-2011,q87,ppleb1b
soep-is,soep-is-2011,q88,ppleb2b
soep-is,soep-is-2011,q89,ppleb3b
soep-is,soep-is-2011,q89,ppleb4b
soep-is,soep-is-2011,q90,pehe1b
soep-is,soep-is-2011,q91,pehe2b
soep-is,soep-is-2011,q92,pehe3b
soep-is,soep-is-2011,q93,pehe4b
soep-is,soep-is-2011,q94,pehe1e
soep-is,soep-is-2011,q95,pehe4e
soep-is,soep-is-2011,q96,pehe5e
soep-is,soep-is-2011,q97,pehe6e
soep-is,soep-is-2011,q98,pehe7e
soep-is,soep-is-2011,q99_q100,lgesch3
soep-is,soep-is-2011,q99_q100,lgesch2
soep-is,soep-is-2011,q99_q100,lgesch1
soep-is,soep-is-2011,lq99_q100r4,lgesch4
soep-is,soep-is-2011,q102,lkind
soep-is,soep-is-2011,q102,lkno
soep-is,soep-is-2011,q105,lknam
soep-is,soep-is-2011,q106,lksex
soep-is,soep-is-2011,q107,lkgeb
soep-is,soep-is-2011,q108,lkwo
soep-is,soep-is-2011,q109,p01v
soep-is,soep-is-2011,q109,p02v
soep-is,soep-is-2011,q109,p03v
soep-is,soep-is-2011,q109,p04v
soep-is,soep-is-2011,q109,p05v
soep-is,soep-is-2011,q109,p06v
soep-is,soep-is-2011,q109,p07v
soep-is,soep-is-2011,q109,p08v
soep-is,soep-is-2011,q109,p09v
soep-is,soep-is-2011,q109,p10v
