study,questionnaire,answer_list,value,label_de,label
soep-is,soep-is-2011,1+,1,Ja,Yes
soep-is,soep-is-2011,1+,2,Nein,No
soep-is,soep-is-2011,1+16,1,Ja,Yes
soep-is,soep-is-2011,1+16,2,Nein,No
soep-is,soep-is-2011,1+16,-1,Keine Angabe,No answer
soep-is,soep-is-2011,1+41,1,Ja,Yes
soep-is,soep-is-2011,1+41,2,Nein,No
soep-is,soep-is-2011,1+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,10+,2001,2001,2001
soep-is,soep-is-2011,10+,2002,2002,2002
soep-is,soep-is-2011,10+,2003,2003,2003
soep-is,soep-is-2011,10+,2004,2004,2004
soep-is,soep-is-2011,10+,2005,2005,2005
soep-is,soep-is-2011,10+,2006,2006,2006
soep-is,soep-is-2011,10+,2007,2007,2007
soep-is,soep-is-2011,10+,2008,2008,2008
soep-is,soep-is-2011,10+,2009,2009,2009
soep-is,soep-is-2011,10+,2010,2010,2010
soep-is,soep-is-2011,10+,2011,2011,2011
soep-is,soep-is-2011,10+,98,Nein,No
soep-is,soep-is-2011,10+,99,Keine Angabe,No answer
soep-is,soep-is-2011,100+41,1,Industrie- und Werkmeister im Angestelltenverhältnis,"Industry or factory foreman / forewoman (Industriemeister, Werkmeister) in a salaried position"
soep-is,soep-is-2011,100+41,2,Angestellter mit einfacher Tätigkeit ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) without completed training/education
soep-is,soep-is-2011,100+41,3,Angestellter mit einfacher Tätigkeit mit Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) with completed training/education
soep-is,soep-is-2011,100+41,4,"Angestellter mit qualifizierter Tätigkeit wie zum Beispiel Sachbearbeiter, Buchhalter oder technischer Zeichner","Salaried employee engaged in skilled activities (Angestellter mit qualifizierter Tätigkeit) (e.g., executive officer, bookkeeper, technical draftsperson)"
soep-is,soep-is-2011,100+41,5,"Angestellter mit hochqualifizierter Tätigkeit oder Leitungsfunktionen wie zum Beispiel wissenschaftlicher Mitarbeiter, Ingenieur oder Abteilungsleiter","Salaried employee engaged in highly skilled activities (Angestellter mit hochqualifizierter Tätigkeit) or managerial functions (e.g., scientist, engineer, department head)"
soep-is,soep-is-2011,100+41,6,"Angestellter mit umfassenden Führungsaufgaben wie zum Beispiel Direktor, Geschäftsführer oder Vorstand größerer Betriebe und Verbände","Salaried employee with extensive managerial duties (Angestellter mit umfassenden Führungsaufgaben) (e.g., managing director, head of a large firm or association)"
soep-is,soep-is-2011,100+41,7,Weiß nicht,Don't know
soep-is,soep-is-2011,100+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,101+41,1,Einfacher Dienst,Lower level
soep-is,soep-is-2011,101+41,2,Mittlerer Dienst,Middle level
soep-is,soep-is-2011,101+41,3,Gehobener Dienst,Upper level
soep-is,soep-is-2011,101+41,4,Höherer Dienst,Executive level
soep-is,soep-is-2011,101+41,5,Weiß nicht,Don't know
soep-is,soep-is-2011,101+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,102+41,1,Selbständiger Landwirt ohne Beschäftigte,Self-employed farmer without employees
soep-is,soep-is-2011,102+41,2,Selbständiger Landwirt mit Beschäftigte,Self-employed farmer with employees
soep-is,soep-is-2011,102+41,3,"Freie Berufe, selbständiger Akademiker ohne Beschäftigte",Freelance professional or academic without employees
soep-is,soep-is-2011,102+41,4,"Freie Berufe, selbständiger Akademiker mit Beschäftigte",Freelance professional or academic with employees
soep-is,soep-is-2011,102+41,5,Sonstige Selbständiger ohne Beschäftigte,Other self-employed professional without employees
soep-is,soep-is-2011,102+41,6,Sonstige Selbständiger mit Beschäftigte,Other self-employed professional with employees
soep-is,soep-is-2011,102+41,7,Mithelfender Familienangehöriger,Assisting self-employed family member
soep-is,soep-is-2011,102+41,8,Weiß nicht,Don't know
soep-is,soep-is-2011,102+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,103+41,1,"Arbeiterin, auch in der Landwirtschaft","Blue-collar worker, also in agriculture"
soep-is,soep-is-2011,103+41,2,Angestellte,White-collar worker
soep-is,soep-is-2011,103+41,3,Beamterin einschließlich Richterin und Berufssoldatin,Civil servant or public administration employee (including judges and professional soldiers)
soep-is,soep-is-2011,103+41,4,Selbständige beziehungsweise mithelfende Familienangehörige,Self-employed (also those working for a self-employed family member)
soep-is,soep-is-2011,103+41,5,War nicht erwerbstätig,Was not employed
soep-is,soep-is-2011,103+41,6,War verstorben,Was deceased
soep-is,soep-is-2011,103+41,7,Weiß nicht,Don't know
soep-is,soep-is-2011,103+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,104+41,1,Ungelernte Arbeiterin,Unskilled worker (ungelernt)
soep-is,soep-is-2011,104+41,2,Angelernte Arbeiterin,Semi-skilled worker (angelernt)
soep-is,soep-is-2011,104+41,3,Gelernte und Facharbeiterin,Trained worker (gelernter Arbeiter) or skilled worker (Facharbeiter)
soep-is,soep-is-2011,104+41,4,"Vorarbeiterin, Kolonnenführerin",Foreman / forewoman (Vorarbeiter / Kolonnenführer)
soep-is,soep-is-2011,104+41,5,"Meister, Polier",Master craftsperson (Meister / Polierer)
soep-is,soep-is-2011,104+41,6,Weiß nicht,Don't know
soep-is,soep-is-2011,104+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,105+41,1,Industrie- und Werkmeister im Angestelltenverhältnis,"Industry or factory foreman / forewoman (Industriemeister, Werkmeister) in a salaried position"
soep-is,soep-is-2011,105+41,2,Angestellte mit einfacher Tätigkeit ohne Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) without completed training/education
soep-is,soep-is-2011,105+41,3,Angestellte mit einfacher Tätigkeit mit Ausbildungsabschluss,Salaried employee engaged in unskilled activities (Angestellter mit einfacher Tätigkeit) with completed training/education
soep-is,soep-is-2011,105+41,4,"Angestellte mit qualifizierter Tätigkeit wie zum Beispiel Sachbearbeiter, Buchhalter oder technischer Zeichner","Salaried employee engaged in skilled activities (Angestellter mit qualifizierter Tätigkeit) (e.g., executive officer, bookkeeper, technical draftsperson)"
soep-is,soep-is-2011,105+41,5,"Angestellte mit hochqualifizierter Tätigkeit oder Leitungsfunktionen wie zum Beispiel wissenschaftlicher Mitarbeiter, Ingenieur oder Abteilungsleiter","Salaried employee engaged in highly skilled activities (Angestellter mit hochqualifizierter Tätigkeit) or managerial functions (e.g., scientist, engineer, department head)"
soep-is,soep-is-2011,105+41,6,"Angestellte mit umfassenden Führungsaufgaben wie zum Beispiel Direktorin, Geschäftsführerin oder Vorstand größerer Betriebe und Verbände","Salaried employee with extensive managerial duties (Angestellter mit umfassenden Führungsaufgaben) (e.g., managing director, head of a large firm or association)"
soep-is,soep-is-2011,105+41,7,Weiß nicht,Don't know
soep-is,soep-is-2011,105+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,106+41,1,Selbständige Landwirtin ohne Beschäftigte,Self-employed farmer without employees
soep-is,soep-is-2011,106+41,2,Selbständige Landwirtin mit Beschäftigte,Self-employed farmer with employees
soep-is,soep-is-2011,106+41,3,"Freie Berufe, selbständige Akademikerin ohne Beschäftigte",Freelance professional or academic without employees
soep-is,soep-is-2011,106+41,4,"Freie Berufe, selbständige Akademikerin mit Beschäftigte",Freelance professional or academic with employees
soep-is,soep-is-2011,106+41,5,Sonstige Selbständige ohne Beschäftigte,Other self-employed professional without employees
soep-is,soep-is-2011,106+41,6,Sonstige Selbständige mit Beschäftigte,Other self-employed professional with employees
soep-is,soep-is-2011,106+41,7,Mithelfender Familienangehörige,Assisting self-employed family member
soep-is,soep-is-2011,106+41,8,Weiß nicht,Don't know
soep-is,soep-is-2011,106+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,107+41,1,Katholisch,Catholic
soep-is,soep-is-2011,107+41,2,Evangelisch,Protestant
soep-is,soep-is-2011,107+41,3,Mitglied einer anderen christlichen Religionsgemeinschaft,Member of another Christian denomination or religious community
soep-is,soep-is-2011,107+41,4,Mitglied einer islamischen Religionsgemeinschaft,Member of an Islamic religious community
soep-is,soep-is-2011,107+41,5,Mitglied einer anderen Religionsgemeinschaft,Member of another religious community
soep-is,soep-is-2011,107+41,-2,Keine Angabe,No answer
soep-is,soep-is-2011,108+41,1,Sehr gut,Very good
soep-is,soep-is-2011,108+41,2,Gut,Good
soep-is,soep-is-2011,108+41,3,Zufriedenstellend,Satisfactory
soep-is,soep-is-2011,108+41,4,Weniger gut,Poor
soep-is,soep-is-2011,108+41,5,Schlecht,Bad
soep-is,soep-is-2011,108+41,-2,Keine Angabe,No answer
