study,dataset,version,section,sectext,group,grouplabel,variable,waves,years,variabletext,references,contact,only_labeled_vals
soep-is,bio,2015,Variables in File BIO,,,,cid,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,hid,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,pid,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,syear,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,sample1,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,bintc01,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bintc02,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bisc188,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bisco1,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,biscoh1,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,biscohv,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,biscou1,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,biscouv,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,biscov,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,biscv88,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bise188,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bisei1,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,biseiv,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bisev88,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,btre188,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,btreim1,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,btreimv,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,btrev88,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bwegen1,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,bwegenv,,,,,,1
soep-is,bio,2015,Variables in File BIO,,,,l0017,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0018,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0020,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0021,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0022,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0023,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0024,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0025,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0026,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0027,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0028,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0029,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0030,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0031,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0032,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0033,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0034,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0035,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0036,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0037,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0038,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0040,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0041,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0042,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0043,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0044,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0045,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0046,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0047,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0048,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0049,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0050,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0051,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0052,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0053,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0054,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0055,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0056,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0058,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0059,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0060,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0064,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0075,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0076,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0078,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0079,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0080,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0081,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0082,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0083,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0092,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0093,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0094,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0095,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0096,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0097,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0098,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0099,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0100,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0101,,,,,,
soep-is,bio,2015,Variables in File BIO,,,,l0102,,,,,,
