study,dataset,distribution,version
soep-is,bio,2016.2,2016.2
soep-is,bioage,2016.2,2016.2
soep-is,biobirth,2016.2,2016.2
soep-is,bioparen,2016.2,2016.2
soep-is,cognit,2016.2,2016.2
soep-is,h,2016.2,2016.2
soep-is,hbrutto,2016.2,2016.2
soep-is,hgen,2016.2,2016.2
soep-is,hhrf,2016.2,2016.2
soep-is,idrm,2016.2,2016.2
soep-is,idrm_esm,2016.2,2016.2
soep-is,iesm,2016.2,2016.2
soep-is,inno,2016.2,2016.2
soep-is,inno_h,2016.2,2016.2
soep-is,intv,2016.2,2016.2
soep-is,irisk,2016.2,2016.2
soep-is,kid,2016.2,2016.2
soep-is,p,2016.2,2016.2
soep-is,pbrutto,2016.2,2016.2
soep-is,pgen,2016.2,2016.2
soep-is,phrf,2016.2,2016.2
soep-is,ppfad,2016.2,2016.2
