input_study,input_dataset,input_version,input_variable,output_study,output_dataset,output_version,output_variable
soep-is,bio,2014,l0186,soep-is,pgen,2014,pgsbil
soep-is,bio,2014,l0186,soep-is,pgen,2014,pgsbila
soep-is,bio,2014,l0186,soep-is,pgen,2014,pgsbilo
soep-is,bio,2014,l0188,soep-is,pgen,2014,pgsbila
soep-is,bio,2014,l0197,soep-is,pgen,2014,pgbbil03
soep-is,p,2014,plg0012,soep-is,pgen,2014,pglfs
soep-is,p,2014,plg0012,soep-is,pgen,2014,pgstib
soep-is,p,2014,plg0013,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0022,soep-is,pgen,2014,pgerwtyp
soep-is,bio,2014,l0879,soep-is,pgen,2014,pgerwtyp
soep-is,p,2014,plb0022,soep-is,pgen,2014,pglfs
soep-is,bio,2014,l0879,soep-is,pgen,2014,pglfs
soep-is,p,2014,plb0022,soep-is,pgen,2014,pgemplst
soep-is,bio,2014,l0879,soep-is,pgen,2014,pgemplst
soep-is,p,2014,plb0066,soep-is,pgen,2014,pgklas
soep-is,p,2014,plb0040,soep-is,pgen,2014,pgoeffd
soep-is,p,2014,plb0057,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0058,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0063,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0064,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0066,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0067,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0067,soep-is,pgen,2014,pgautono
soep-is,p,2014,plb0065,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0035,soep-is,pgen,2014,pgerwzt
soep-is,p,2014,plb0036,soep-is,pgen,2014,pgerwzt
soep-is,p,2014,plb0049,soep-is,pgen,2014,pgbetr
soep-is,p,2014,plb0059,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0060,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0061,soep-is,pgen,2014,pgstib
soep-is,p,2014,plb0176,soep-is,pgen,2014,pgvebzt
soep-is,p,2014,plb0186,soep-is,pgen,2014,pgtatzt
soep-is,p,2014,plc0013,soep-is,pgen,2014,pglabgro
soep-is,p,2014,plc0014,soep-is,pgen,2014,pglabnet
soep-is,p,2014,plc0062,soep-is,pgen,2014,pgsndjob
soep-is,p,2014,plj0025,soep-is,pgen,2014,pgnation
soep-is,p,2014,plj0014,soep-is,pgen,2014,pgnation
soep-is,p,2014,plb0018,soep-is,pgen,2014,pglfs
soep-is,p,2014,plb0019,soep-is,pgen,2014,pglfs
soep-is,p,2014,pld0131,soep-is,pgen,2014,pgfamstd
soep-is,p,2014,pla0009,soep-is,ppfad,2014,sex
soep-is,p,2014,ple0010,soep-is,ppfad,2014,gebjahr
soep-is,p,2014,ple0003,soep-is,ppfad,2014,gebmonat
soep-is,bio,2014,l0013,soep-is,ppfad,2014,germborn
soep-is,bio,2014,l0013,soep-is,ppfad,2014,migback
soep-is,bio,2014,l0013,soep-is,ppfad,2014,miginfo
soep-is,bio,2014,l0016,soep-is,ppfad,2014,corigin
soep-is,bio,2014,l0019,soep-is,ppfad,2014,immiyear
soep-is,bio,2014,l0057,soep-is,ppfad,2014,loc1989
soep-is,l11_inno_final,2011,lform,soep-is,bio,2013,binta
soep-is,mb11_inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,p11_Inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,l11_inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,mc11_Inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,ma11_Inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,h11_Inno_final,2011,urhh,soep-is,bio,2013,cid
soep-is,p11_Inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,mb11_inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,l11_inno_Jahresangabe Heirat,2011,hnr,soep-is,bio,2013,hid
soep-is,l11_inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,mc11_Inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,ma11_Inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,h11_Inno_final,2011,hnr,soep-is,bio,2013,hid
soep-is,l11_inno_final,2011,ldatt,soep-is,bio,2013,iday
soep-is,l11_inno_final,2011,ldatm,soep-is,bio,2013,imonth
