study,dataset,label,description,conceptual_dataset,analysis_unit,period
soep-is,bio,Variables from the Life Course Question Module,,org/net,p,long
soep-is,bioage,Variables from the Modules of Questions on Children,,org/net,p,long
soep-is,biobirth,Birth Biography of Female and Male Respondents,,track,p,long
soep-is,bioparen,,,org/net,p,long
soep-is,cognit,,,org/net,p,long
soep-is,h,Variables from the Household Question Module,,org/net,h,long
soep-is,hbrutto,Household-related Gross File,,org/gross,h,long
soep-is,hgen,Household-related Status and Generated Variables,,gen,h,long
soep-is,hhrf,,,survey,h,long
soep-is,idrm,Person-related Data from Innovative DRM Module,,org/net,p,long
soep-is,idrm_esm,,,org/net,p,long
soep-is,iesm,,,org/net,p,long
soep-is,inno,Variables from the Innovation Modules,,org/net,p,long
soep-is,inno_h,HOUSEHOLD? Variables from the Innovation Modules,,org/net,p,long
soep-is,intv,,,org/net,p,long
soep-is,irisk,,,,p,long
soep-is,kid,Pooled Dataset on Children,,track,p,long
soep-is,p,Variables from the Individual Question Module,,org/net,p,long
soep-is,pbrutto,Person-related Gross File,,org/gross,p,long
soep-is,pgen,Person-related Status and Generated Variables,,gen,p,long
soep-is,phrf,,,survey,p,long
soep-is,ppfad,Person-related Meta-dataset,,track,p,long
soep-is,hpfad,DEPRECATED (2012 ist last version which contains daatset),,track,h,long
soep-is,CSM12_IS_W4,,,raw,,2012
soep-is,DRM12_IS_W4,,,raw,,2012
soep-is,H12_IS_W4,,,raw,,2012
soep-is,L12_IS_W4,,,raw,,2012
soep-is,L12_IS_W4_PFAMST,,,raw,,2012
soep-is,MA12_IS_W4,,,raw,,2012
soep-is,MB12_IS_W4,,,raw,,2012
soep-is,MC12_IS_W4,,,raw,,2012
soep-is,P12_IS_W4,,,raw,,2012
soep-is,SOEP_IS_W4_Berufe_Branchen,,,raw,,2012
soep-is,Selbstwert Fragen & respid,,,raw,,2012
soep-is,gew12_IS_W4,,,raw,,2012
soep-is,hbru_2012_IS_W4,,,raw,,2012
soep-is,intband_2012_IS_W4,,,raw,,2012
soep-is,pbru_2012_IS_W4,,,raw,,2012
soep-is,notdirectlydelivered12,,,raw,,2012
soep-is,CSM12_IS,,,raw,,2012
soep-is,DRM12_IS,,,raw,,2012
soep-is,FM12_IS,,,raw,,2012
soep-is,GM12_IS,,,raw,,2012
soep-is,H12_IS,,,raw,,2012
soep-is,L12_IS,,,raw,,2012
soep-is,MA12_IS,,,raw,,2012
soep-is,MB12_IS,,,raw,,2012
soep-is,MC12_IS,,,raw,,2012
soep-is,MEM12_IS,,,raw,,2012
soep-is,notdirectlydelivered12a,,,raw,,2012
soep-is,P12_IS,,,raw,,2012
soep-is,SIM12_IS,,,raw,,2012
soep-is,151023_wuma_2012_IS_Aufwuchs,,,raw,,2012
soep-is,Drm_2013_IS_F,,,raw,,2013
soep-is,Haushalt_2013_IS_F,,,raw,,2013
soep-is,Muki_a_2013_IS_F,,,raw,,2013
soep-is,Muki_b_2013_IS_F,,,raw,,2013
soep-is,Muki_c_2013_IS_F,,,raw,,2013
soep-is,P-L_2013_IS_F_Zusatz_Rollen_Aug_14,,,raw,,2013
soep-is,Personen&Lebenslauf_2013_IS_F,,,raw,,2013
soep-is,Schlaf_2013_IS_F_Aug_2014_geliefert,,,raw,,2013
soep-is,Sim_2013_IS_F,,,raw,,2013
soep-is,Sport_2013_IS_F,,,raw,,2013
soep-is,Sprache_2013_IS_F,,,raw,,2013
soep-is,Vignetten_2013_IS_F,,,raw,,2013
soep-is,Vignetten_2013_IS_F_Zusatz_Aug_14,,,raw,,2013
soep-is,Haushalt_2013_IS_A,,,raw,,2013
soep-is,Personen&Lebenslauf_2013_IS_A,,,raw,,2013
soep-is,Sport_2013_IS_A,,,raw,,2013
soep-is,Taetigkeiten_2013_IS_A,,,raw,,2013
soep-is,notdirectlydelivered13a,,,raw,,2013
