study,questionnaire,question,item,dataset,variable,concept
soep-is,soep-is-2011,A000C,lgeb,l11_inno_final,lgeb,
soep-is,soep-is-2011,A000C,lgeb,p11_Inno_final,ppgeb,
soep-is,soep-is-2011,A000C,lgebmo,l11_inno_final,lgebmo,
soep-is,soep-is-2011,A000C,lsex,l11_inno_final,lsex,
soep-is,soep-is-2011,A000C,lsex,p11_Inno_final,psex,
soep-is,soep-is-2011,A000C,name,p11_Inno_final,name,
soep-is,soep-is-2011,A000C,name,l11_inno_final,name,
soep-is,soep-is-2011,LQ99_Q100R4,,l11_inno_final,lgesch4,
soep-is,soep-is-2011,Q1,,p11_Inno_final,lela,
soep-is,soep-is-2011,Q10,,h11_Inno_final,hhtyp,
soep-is,soep-is-2011,Q102,lkind,l11_inno_final,lkind,
soep-is,soep-is-2011,Q102,lkno,l11_inno_final,lkno,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam8,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam1,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam5,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam7,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam10,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam9,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam6,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam4,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam2,
soep-is,soep-is-2011,Q105,lknam,l11_inno_final,lknam3,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex2,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex7,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex10,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex8,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex4,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex1,
soep-is,soep-is-2011,Q106,,l11_inno_final,lksex9,
