"name","title","author","year","abstract","cite","type","studies","url","doi","study"
11470,"SOEP-IS 2017 – Methodenbericht Online-Zusatzerhebung ""Sprache in Deutschland""","Bettina Zweck, Manuela Stadler, Axel Glemser",2019,,"Bettina Zweck, Manuela Stadler, Axel Glemser. 2019: SOEP-IS 2017 – Methodenbericht Online-Zusatzerhebung ""Sprache in Deutschland"". SOEP Survey Papers 590: Series B - Survey Reports (Methodenberichte). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.612266.de/diw_ssp0590.pdf",,"soep-is"
11592,"SOEP-IS 2017 – Survey Report on the 2017 SOEP Innovation Sample","Bettina Zweck, Axel Glemser",2019,,"Bettina Zweck, Axel Glemser. 2019: SOEP-IS 2017 – Survey Report on the 2017 SOEP Innovation Sample. Berlin: DIW Berlin / SOEP.","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.635288.de/diw_ssp0709.pdf",,"soep-is"
11594,"SOEP-IS 2016 – Questionnaire for the SOEP Innovation Sample (Boost Sample)","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2016 – Questionnaire for the SOEP Innovation Sample (Boost Sample). SOEP Survey Papers 711: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2016","http://www.diw.de/documents/publikationen/73/diw_01.c.624339.de/diw_ssp0711.pdf",,"soep-is"
11593,"SOEP-IS 2016 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe)","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2016 – Fragebogen für die SOEP-Innovations-Stichprobe (Aufwuchsstichprobe). SOEP Survey Papers 710: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2016","http://www.diw.de/documents/publikationen/73/diw_01.c.624337.de/diw_ssp0710.pdf",,"soep-is"
11595,"SOEP-IS 2016 – Fragebogen für die SOEP-Innovations-Stichprobe (Update soep.is.2017)","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2016 – Fragebogen für die SOEP-Innovations-Stichprobe (Update soep.is.2017). SOEP Survey Papers 712: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624341.de/diw_ssp0712.pdf",,"soep-is"
11596,"SOEP-IS 2016 – Questionnaire for the SOEP Innovation Sample (Update soep.is.2017)","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2016 – Questionnaire for the SOEP Innovation Sample (Update soep.is.2017). SOEP Survey Papers 713: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624343.de/diw_ssp0713.pdf",,"soep-is"
11597,"SOEP-IS 2017 – Fragebogen für die SOEP-Innovations-Stichprobe","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2017 – Fragebogen für die SOEP-Innovations-Stichprobe. SOEP Survey Papers 714: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624345.de/diw_ssp0714.pdf",,"soep-is"
11598,"SOEP-IS 2017 – Questionnaire for the SOEP Innovation Sample","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2017 – Questionnaire for the SOEP Innovation Sample. SOEP Survey Papers 715: Series A - Survey Instruments (Erhebungsinstrumente). Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624347.de/diw_ssp0715.pdf",,"soep-is"
11599,"SOEP-IS 2017 – BIO: Variables from the Life Course Question Module","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2017 – BIO: Variables from the Life Course Question Module. SOEP Survey Papers 716: Series D - Variable Description and Coding. Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624365.de/diw_ssp0716.pdf",,"soep-is"
11600,"SOEP-IS 2017 – BIOAGE: Variables from the Modules of Questions on Children","SOEP-IS Group",2019,,"SOEP-IS Group. 2019: SOEP-IS 2017 – BIOAGE: Variables from the Modules of Questions on Children. SOEP Survey Papers 717: Series D - Variable Description and Coding. Berlin: DIW Berlin / SOEP","35 Other DIW Publication","soep.is.2017","http://www.diw.de/documents/publikationen/73/diw_01.c.624367.de/diw_ssp0717.pdf",,"soep-is"
