study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,range,concept,filter,goto,description,scripternotes,number,old.template.id,dataset,var_fix
soep-is,soep-is-2011,Q1,,1,Neu zu befragende Person,Wird anhand der Infos aus der Paneldatei (bei erstmals zu befragenden Jugendlichen) bzw. beim Anlegen einer neuen Person automatisch generiert.,New respondent,"Is generated automatically with the creation of a new person, using info from the panel file (with the first survey of adolescent).",cat,1+,,lela,,,,,Q1,,,
soep-is,soep-is-2011,A000C,,2,A000C,"Bitte machen Sie folgende Angaben zur Zielperson. Bitte vergessen Sie nicht, diese Angaben auch ins Adressenprotokoll zu übertragen!",A000C,"Please state the following information about the target subject. Moreover, please do not forget to transfer this information into the address protocol.",txt,,,,,,,,A000C,,,
soep-is,soep-is-2011,A000C,1,2,Personennummer laut Adressenprotokoll,,Person number according to adress protocol,,int,,,,,,,,A000C,,,
soep-is,soep-is-2011,A000C,name,2,Vorname der Befragungsperson,,First name of respondent,,chr,,,name,,,,,A000C,,,
soep-is,soep-is-2011,A000C,lsex,2,Geschlecht,,Sex,,cat,2+,,lsex,,,,,A000C,,,
soep-is,soep-is-2011,A000C,lgeb,2,Geburtsjahr,,Year of Birth,,int,,,lgeb,,,,,A000C,,,
soep-is,soep-is-2011,A000C,lgebmo,2,Geburtsmonat,,Month of Birth,,int,,,lgebmo,,,,,A000C,,,
soep-is,soep-is-2011,Q6,,3,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?","Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. Sofern bekannt, ist diese Person im Adressprotokoll mit * gekennzeichnet. Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!","Is the respondent the head of household, the person who answers the questions about the household?","The questions on the household should be answered by the person who knows most about the concerns of the total household and the other household members.
Important Note: The questions on the household have to be filled out once for each household. Without this question part all other questions would be useless for data analysis!",cat,3+,,,,,,,Q5,,,
soep-is,soep-is-2011,Q7,,4,Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,,We'll start with questions about your household as a whole.,,txt,,,,,,,,Q7,,,
soep-is,soep-is-2011,Q8,,5,"Haben Sie bei unserer letzten Befragung, also vor ungefähr einem Jahr,
schon in dieser Wohnung gelebt?","Achtung:
Wenn der Haushalt das erste Mal an dieser Adresse befragt wird,
oder wenn sich der Hinweis ""Neue Adresse von ...""
über der Anschrift im Adressenprotokoll befindet,
müssen Sie diese Frage mit „Nein"" beantworten!",Did you already live in this flat the last time we interviewed you about a year ago?,"Attention: 
If the household is questioned the first time at this address,
or if there is the hint „New address of...“ 
above the address in the protocol,
then you have to answer this question with ”No“.",cat,4+,,hvj,,,,,Q8,,,
soep-is,soep-is-2011,Q9,,6,Seit wann leben Sie in dieser Wohnung?,,When did you move into this dwelling?,,txt,,,,"Q8;HVJ=2,9 and Q8 : HVJ=1",,,,Q9,,,
soep-is,soep-is-2011,Q9,hwj,6,Jahr,,Year,,int,,,hwj,,,,,Q9,,,
