study_name,dataset_name,name,label,label_de
soep-is,bio,cid,"Case-ID, Original Household Number","Case ID, Ursprungshaushaltsnummer"
soep-is,bio,hid,Current Wave HH Number,Aktuelle Haushaltsnummer
soep-is,bio,pid,Never Changing Person ID,Unveraenderliche Personennummer (PID)
soep-is,bio,syear,Survey-Year,"Survey-Year, Erhebungsjahr"
soep-is,bio,sample1,Sample,Stichprobenkennzeichen (Sample)
soep-is,bio,bintc01,Length In Minutes Oral Interview,muendliche Interviewdauer (Minuten)
soep-is,bio,bintc02,Length In Minutes Written Interview,Selbstausfuellen schriftlich (Minuten)
soep-is,bio,bisc188,3 Digit ISCO-88 Occupation Code,"Berufl. Taetigkeit Einst., ISCO88,3St."
soep-is,bio,bisco1,3 Digit ISCO Occupation Code,"Berufl. Taetigkeit Einst., ISCO,3St."
soep-is,bio,biscoh1,1 Digit Occupation Code,Berufl. Taetigkeit Einstieg Hauptgruppen
soep-is,bio,biscohv,Father: 1 Digit Occupation Code,Berufl. Taetigkeit Vater Hauptgruppen
soep-is,bio,biscou1,2 Digit Occupation Code,Berufl. Taetigkeit Einstieg Untergruppen
soep-is,bio,biscouv,Father: 2 Digit Occupation Code,Berufl. Taetigkeit Vater Untergruppen
soep-is,bio,biscov,3 Digit ISCO-68 Occupation Code,"Berufl. Taetigkeit Vater, ISCO,3St."
soep-is,bio,biscv88,Father: 3 Digit ISCO Occupation Code,"Berufl. Taetigkeit Vater, ISCO88,3St."
soep-is,bio,bise188,ISEI-Status88 Ganzeboom,"ISEI-Status,Ganzeboom,ISCo88 Einstieg"
soep-is,bio,bisei1,ISEI-Status Ganzeboom,"ISEI-Status nach Ganzeboom, Einstieg"
soep-is,bio,biseiv,Father:  ISEI-Status Ganzeboom,"ISEI-Status nach Ganzeboom, Vater"
soep-is,bio,bisev88,Father:  ISEI-Status88 Ganzeboom,"ISEI-Status,Ganzeboom,ISCo88 Vater"
soep-is,bio,btre188,"TREIMAN Occupation Prestige Scale, ISCo88","Berufsprestige,Treiman,ISCo88 Einstieg"
soep-is,bio,btreim1,TREIMAN Occupation Prestige Scale,Berufsprestige n.Treiman Einstieg
soep-is,bio,btreimv,Father: TREIMAN Occupation Prestige Scale,Berufsprestige n.Treiman Vater
soep-is,bio,btrev88,"Father: TREIMAN Occupation Prestige Scale, ISCo88","Berufsprestige,Treiman,ISCo88 Vater"
soep-is,bio,bwegen1,WEGENER Occupation Prestige Scale,Berufsprestige n.Wegener Einstieg
soep-is,bio,bwegenv,Father: WEGENER Occupation Prestige Scale,Berufsprestige n.Wegener Vater
soep-is,bio,l0017,"Year, Moved To West Germany (before 1984)",vor 1984 -Jahr d. Zuzugs in BR
soep-is,bio,l0018,"Year, Moved To West Germany (after 1984)",nach 1984 -Jahr d. Zuzugs in BR
soep-is,bio,l0020,Status Upon Migration To Germany,Status bei Einwanderung in Dtschl.
soep-is,bio,l0021,Residence Status,Status Aufenthaltserlaubnis
soep-is,bio,l0022,Refugee Residence,Aufenthalt im Aufnahmelager
soep-is,bio,l0023,Refugee Residence: Weeks,"Aufenthalt im Aufnahmelager, Wochen"
soep-is,bio,l0024,Refugee Residence: Months,"Aufenthalt im Aufnahmelager, Monate"
soep-is,bio,l0025,Already Had Family In Country,Eingereist als Familienangehoeriger?
soep-is,bio,l0026,"Contacts With Family, Friends In Germany",Vor Einreise Kontakte mit Pers. in Dt.?
soep-is,bio,l0027,"Moved To Same City,Town As Family",Zuzug in Wohnort der Bekannten
soep-is,bio,l0028,Attended School In Germany,Schulbesuch in Dt.
soep-is,bio,l0029,Schooling In Germany (Class),"Schuleintritt in Dt., welche Klasse"
soep-is,bio,l0030,Attended Special Foreigner Prep Class,Besuch spezieller Vorbereitungsklasse
soep-is,bio,l0031,Reason Migrate: Better Life,Gruende fuer Zuzug nach Dt.: Besser Leben
soep-is,bio,l0032,Reason Migrate:  Work/Money,Gruende fuer Zuzug nach Dt.: Arbeit/Geld
