study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,pwohn4,2,"Difficult to say, location of workplace varies","Nicht zu sagen, da wechselnder Arbeitsort"
soep-is,soep-is-2011,pwohn4,3,Workplace and home are in the same building / same property,Arbeitsplatz und Wohnung sind im gleichen Haus bzw. auf dem gleichen Grundstück
soep-is,soep-is-2011,q1,1,Yes ,Ja
soep-is,soep-is-2011,q1,2,No,Nein
soep-is,soep-is-2011,q10,1,Farm house,Landwirtschaftliches Wohngebäude
soep-is,soep-is-2011,q10,2,Free standing one or two family house,Freistehendes Ein- oder Zweifamilienhaus
soep-is,soep-is-2011,q10,3,One or two family house as row or double house,Ein- oder Zweifamilienhaus als Reihenhaus oder Doppelhaus
soep-is,soep-is-2011,q10,4,Building with 3 to 4 flats,Wohnhaus mit 3 bis 4 Wohnungen
soep-is,soep-is-2011,q10,5,Building with 5 to 8 flats,Wohnhaus mit 5 bis 8 Wohnungen
soep-is,soep-is-2011,q10,6,Building with 9 or more flats (but no more than 8 floors/stories),"Wohnhaus mit 9 und mehr Wohnungen, aber höchstens 8 Stockwerken, also kein Hochhaus"
soep-is,soep-is-2011,q10,7,High-rise (9 or more floors/stories),Hochhaus mit 9 und mehr Stockwerken
soep-is,soep-is-2011,q10,9,No answer,Keine Angabe
soep-is,soep-is-2011,q101,1,"Yes, my identical twin","Ja, eineiig"
soep-is,soep-is-2011,q101,2,"Yes, my fraternal sister","Ja, eine zweieiige Schwester"
soep-is,soep-is-2011,q101,3,"Yes, my fraternal brother","Ja, ein zweieiiger Bruder"
soep-is,soep-is-2011,q101,4,No,Nein
soep-is,soep-is-2011,q101,9,No answer,Keine Angabe
soep-is,soep-is-2011,q106,1,Son,Ihr Sohn
soep-is,soep-is-2011,q106,2,Daughter,Ihre Tochter
soep-is,soep-is-2011,q108,1,Here in this household,Hier im Haushalt
soep-is,soep-is-2011,q108,2,Here in this town,Hier am Ort
soep-is,soep-is-2011,q108,3,Elsewhere in West Germany,Woanders in Westdeutschland
soep-is,soep-is-2011,q108,4,Elsewhere in East Germany,Woanders in Ostdeutschland
soep-is,soep-is-2011,q108,5,Abroad,Im Ausland
soep-is,soep-is-2011,q108,6,Has died,Ist verstorben
soep-is,soep-is-2011,q108,9,No answer,Keine Angabe
soep-is,soep-is-2011,q109_2,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q109_2,0,In the same household,Hier im selben Haushalt
soep-is,soep-is-2011,q109_2,1,In the same house,Hier im selben Haus
soep-is,soep-is-2011,q109_2,2,In the same neighborhood,In der Nachbarschaft
soep-is,soep-is-2011,q109_2,3,"In the same town, but more than 15 minutes away by foot","Im gleichen Ort, aber mehr als 15 Minuten Fußweg"
soep-is,soep-is-2011,q109_2,4,"In another town, but within a one hour drive","In einem anderen Ort, aber innerhalb 1 Stunde erreichbart"
soep-is,soep-is-2011,q109_2,5,Farther away (but in Germany),Weiter entfernt (aber in Deutschland)
soep-is,soep-is-2011,q109_2,6,Abroad,Im Ausland
soep-is,soep-is-2011,q11,1,Yes,Ja
soep-is,soep-is-2011,q11,2,No,Nein
soep-is,soep-is-2011,q11,9,No answer,Keine Angabe
soep-is,soep-is-2011,q11111,1,Start test now,Test jetzt starten
soep-is,soep-is-2011,q11111,2,"Do not perform test, because","Test nicht durchführen, weil"
soep-is,soep-is-2011,q11113,1,Very good,sehr gut
soep-is,soep-is-2011,q11113,2,Good,gut
soep-is,soep-is-2011,q11113,3,Satisfactory,befriedigend
soep-is,soep-is-2011,q11113,4,Sufficient,ausreichend
soep-is,soep-is-2011,q11113,5,Poor/Fail,mangelhaft
soep-is,soep-is-2011,q11113,6,Very poor/ Fail,ungenügend
soep-is,soep-is-2011,q11114,1,"Yes, in fact","ja, und zwar"
soep-is,soep-is-2011,q11114,2,No,nein
soep-is,soep-is-2011,q112,-2,No answer,Keine Angabe
