study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,CSM12_IS,csm0101,,,,,,,,
soep-is,CSM12_IS,csm0102,,,,,,,,
soep-is,CSM12_IS,csm02,,,,,,,,
soep-is,CSM12_IS,csm03,,,,,,,,
soep-is,CSM12_IS,csm0401,,,,,,,,
soep-is,CSM12_IS,csm0402,,,,,,,,
soep-is,CSM12_IS,csm0403,,,,,,,,
soep-is,CSM12_IS,csm0404,,,,,,,,
soep-is,CSM12_IS,csm0405,,,,,,,,
soep-is,CSM12_IS,csm0406,,,,,,,,
soep-is,CSM12_IS,csm0407,,,,,,,,
soep-is,CSM12_IS,csm0408,,,,,,,,
soep-is,CSM12_IS,csm0409,,,,,,,,
soep-is,CSM12_IS,csm0410,,,,,,,,
soep-is,CSM12_IS,csm0411,,,,,,,,
soep-is,CSM12_IS,csm0412,,,,,,,,
soep-is,CSM12_IS,csm0501,,,,,,,,
soep-is,CSM12_IS,csm0502,,,,,,,,
soep-is,CSM12_IS,csm06,,,,,,,,
soep-is,CSM12_IS,csm07,,,,,,,,
soep-is,CSM12_IS,csm0801,,,,,,,,
soep-is,CSM12_IS,csm0802,,,,,,,,
soep-is,CSM12_IS,csm0803,,,,,,,,
soep-is,CSM12_IS,csm0804,,,,,,,,
soep-is,CSM12_IS,csm0805,,,,,,,,
soep-is,CSM12_IS,csm0806,,,,,,,,
soep-is,CSM12_IS,csm0807,,,,,,,,
soep-is,CSM12_IS,csm0808,,,,,,,,
soep-is,CSM12_IS,csm0809,,,,,,,,
soep-is,CSM12_IS,csm0810,,,,,,,,
soep-is,CSM12_IS,csm0811,,,,,,,,
soep-is,CSM12_IS,csm0812,,,,,,,,
soep-is,CSM12_IS,csm0901,,,,,,,,
soep-is,CSM12_IS,csm0902,,,,,,,,
soep-is,CSM12_IS,csm10,,,,,,,,
soep-is,CSM12_IS,csm11,,,,,,,,
soep-is,CSM12_IS,csm1201,,,,,,,,
soep-is,CSM12_IS,csm1202,,,,,,,,
soep-is,CSM12_IS,csm1203,,,,,,,,
soep-is,CSM12_IS,csm1204,,,,,,,,
soep-is,CSM12_IS,csm1205,,,,,,,,
soep-is,CSM12_IS,csm1206,,,,,,,,
soep-is,CSM12_IS,csm1207,,,,,,,,
soep-is,CSM12_IS,csm1208,,,,,,,,
soep-is,CSM12_IS,csm1209,,,,,,,,
soep-is,CSM12_IS,csm1210,,,,,,,,
soep-is,CSM12_IS,csm1211,,,,,,,,
soep-is,CSM12_IS,csm1212,,,,,,,,
soep-is,CSM12_IS,datj,,,,,,,,
soep-is,CSM12_IS,datm,,,,,,,,
soep-is,CSM12_IS,datt,,,,,,,,
