study,questionnaire,question,item,number,concept,text,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,view_calculated_item,text_de,instruction_de
soep-is,soep-is-2011,Q1,,0,,New respondent,,q1,cat,,,Pre-filter for controlling life course questions,,,,1,,2,,,,"",,,Neu zu befragende Person,Wird anhand der Infos aus der Paneldatei (bei erstmals zu befragenden Jugendlichen) bzw. beim Anlegen einer neuen Person automatisch generiert.
soep-is,soep-is-2011,A000C,,0,,A000C,,,txt,,,,,,,2,1,5,,,,,,,A000C,"Bitte machen Sie folgende Angaben zur Zielperson. Bitte vergessen Sie nicht, diese Angaben auch ins Adressenprotokoll zu übertragen!"
soep-is,soep-is-2011,A000C,1,0,,Person number according to adress protocol,,,int,,,,,,,3,,,,,,,,,Personennummer laut Adressenprotokoll,
soep-is,soep-is-2011,A000C,0,0,,Month of Birth,,,int,,,,,,,7,,,,,,,,,Geburtsmonat,
soep-is,soep-is-2011,Q6,,0,,"Is the respondent the head of household, the person who answers the questions about the household?",,q6,cat,,,,,,,8,2,6,,,,,,,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?","Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. Sofern bekannt, ist diese Person im Adressprotokoll mit * gekennzeichnet. Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!"
soep-is,soep-is-2011,Q7,,0,,We'll start with questions about your household as a whole. ,,,txt,,,,,,,9,5,7,,,,,,,Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,
soep-is,soep-is-2011,Q8,,0,,Did you already live in this flat the last time we interviewed you about a year ago?,,q8,cat,,,,,,,10,6,8,,,,"",,,"Haben Sie bei unserer letzten Befragung, also vor ungefähr einem Jahr,
schon in dieser Wohnung gelebt?","Achtung:
Wenn der Haushalt das erste Mal an dieser Adresse befragt wird,
oder wenn sich der Hinweis ""Neue Adresse von ...""
über der Anschrift im Adressenprotokoll befindet,
müssen Sie diese Frage mit „Nein"" beantworten!"
soep-is,soep-is-2011,Q9,,0,,When did you move into this dwelling?,,,txt,"Q8;HVJ=2,9 and Q8 : HVJ=1",,,,,,11,7,10,,,,,,,Seit wann leben Sie in dieser Wohnung?,
soep-is,soep-is-2011,Q9,0,0,,Month,,,int,,,,,,,13,,,,,,,,,Monat,
soep-is,soep-is-2011,Q10,,0,,What kind of a house is it in which you live?,,q10,cat,"Q8;HVJ=2,9",,,,,,14,8,11,,,,"",,,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",Liste 10 vorlegen
soep-is,soep-is-2011,Q11,,0,,"Is it a rooming house, guesthouse, or a similar accommodation?",,q11,cat,"Q8;HVJ=2,9",,,,,,15,10,12,,,,"",,,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?",
soep-is,soep-is-2011,Q12,,0,,"When, approximately, was the house built in which your flat is located?",,q12,cat,"Q8;HVJ=2,9",,,,,,16,11,13,,,,"",,,"Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?",Liste 12 vorlegen
soep-is,soep-is-2011,Q13.1,,0,,Can you also provide the exact year in which the house was built?,,q1301,cat,Q12;HWOHN09=4,,,,,,17,12,14,,,,"",,,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",
soep-is,soep-is-2011,Q13.2,,0,,Can you also provide the exact year in which the house was built?,,q1302,cat,Q12;HWOHN09=5,,,,,,18,13,15,,,,"",,,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",
soep-is,soep-is-2011,Q13.3,,0,,Can you also provide the exact year in which the house was built?,,q1303,cat,Q12;HWOHN09=6,,,,,,19,14,16,,,,"",,,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",
soep-is,soep-is-2011,Q13.4,,0,,Can you also provide the exact year in which the house was built?,,q1304,cat,Q12;HWOHN09=7,,,,,,20,15,17,,,,"",,,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",
soep-is,soep-is-2011,Q14,,0,,How large is the total living space in this flat?,,,txt,"Q8;HVJ=2,9",,,,,,21,16,19,,,,,,,Wie groß ist die Wohnfläche dieser Wohnung insgesamt?,
soep-is,soep-is-2011,Q14,0,0,,qm,,,int,,,,,,,22,,,,,,,,,qm,
soep-is,soep-is-2011,Q15,,0,,How would you describe your neighborhood?,,q15,cat,,,,,,,23,17,20,,,,"",,,Wie würden Sie die Wohngegend hier beschreiben?,"Antwortvorgaben bitte vorlesen!
Liste 15 vorlegen"
soep-is,soep-is-2011,Q16,,0,,"How would you characterize the condition of the house in which you live? Is it in good condition, in need of partial renovation, in need of complete renovation, or ready for demolition?",,q16,cat,,,,,,,24,19,21,,,,"",,,"Wie beurteilen Sie den Zustand des Hauses, in dem Sie wohnen? Ist es in gutem Zustand, teilweise renovierungsbedürftig, ganz renovierungsbedürftig oder abbruchreif?",
soep-is,soep-is-2011,Q17,,0,,Which of the following applies to you?,,,txt,,,,,,,25,20,23,,,,,,,Welche der folgenden Punkte treffen für Ihren Haushalt zu?,Liste 17 vorlegen
soep-is,soep-is-2011,Q17,0,0,,Furniture which is worn out but can still be used is replaced by new furniture,,q1701,cat,,,,,,,36,,,,,,,,,"Abgenutzte Möbel, auch wenn sie noch funktionsfähig sind, werden durch neue ersetzt",
soep-is,soep-is-2011,Q17a,,0,,"In the previous question you indicated NO for ""The household has a color television"". Is it for financial or other reasons?",,q1702,cat,Q17:HH01=2,,,,,,37,21,24,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Farbfernseher im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17b,,0,,"In the previous question you indicated NO for ""The household has a telephone"". Is it for financial or other reasons?",,q1702,cat,Q17:HH02=2,,,,,,38,23,25,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Telefon im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17c,,0,,"In the previous question you indicated NO for ""The household has an internet access"". Is it for financial or other reasons?",,q1702,cat,Q17:HH11=2,,,,,,39,24,26,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt einen Internet-Anschluss im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17d,,0,,"In the previous question you indicated NO for ""The household has a car"". Is it for financial or other reasons?",,q1702,cat,Q17:HH03=2,,,,,,40,25,27,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Es gibt ein Auto im Haushalt“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17e,,0,,"In the previous question you indicated NO for ""The flat is located in a building which is in good condition"". Is it for financial or other reasons?",,q1702,cat,Q17:HH05=2,,,,,,41,26,28,,,,"",,,"Bei der vorherigen Frage haben Sie bei dem Punkt „Die Wohnung liegt in einem Haus, das in einem guten Zustand ist“ NEIN angegeben. Hat das finanzielle oder andere Gründe?",
soep-is,soep-is-2011,Q17f,,0,,"In the previous question you indicated NO for ""The building is located in a good neighborhood"". Is it for financial or other reasons?",,q1702,cat,Q17:HH06=2,,,,,,42,27,29,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Das Haus liegt in einer guten Wohngegend“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
soep-is,soep-is-2011,Q17g,,0,,"In the previous question you indicated NO for ""I have put some money aside for emergencies"". Is it for financial or other reasons?",,q1702,cat,Q17:HH07=2,,,,,,43,28,30,,,,"",,,Bei der vorherigen Frage haben Sie bei dem Punkt „Ich habe finanzielle Rücklagen für Notfälle“ NEIN angegeben. Hat das finanzielle oder andere Gründe?,
