study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2011,pwohn4,2,"Difficult to say, location of workplace varies","Nicht zu sagen, da wechselnder Arbeitsort",1,pwohn4
soep-is,soep-is-2011,pwohn4,3,Workplace and home are in the same building / same property,Arbeitsplatz und Wohnung sind im gleichen Haus bzw. auf dem gleichen Grundstück,2,pwohn4
soep-is,soep-is-2011,q1,1,Yes ,Ja,3,q1
soep-is,soep-is-2011,q1,2,No,Nein,4,q1
soep-is,soep-is-2011,q10,1,Farm house,Landwirtschaftliches Wohngebäude,5,q10
soep-is,soep-is-2011,q10,2,Free standing one or two family house,Freistehendes Ein- oder Zweifamilienhaus,6,q10
soep-is,soep-is-2011,q10,3,One or two family house as row or double house,Ein- oder Zweifamilienhaus als Reihenhaus oder Doppelhaus,7,q10
soep-is,soep-is-2011,q10,4,Building with 3 to 4 flats,Wohnhaus mit 3 bis 4 Wohnungen,8,q10
soep-is,soep-is-2011,q10,5,Building with 5 to 8 flats,Wohnhaus mit 5 bis 8 Wohnungen,9,q10
soep-is,soep-is-2011,q10,6,Building with 9 or more flats (but no more than 8 floors/stories),"Wohnhaus mit 9 und mehr Wohnungen, aber höchstens 8 Stockwerken, also kein Hochhaus",10,q10
soep-is,soep-is-2011,q10,7,High-rise (9 or more floors/stories),Hochhaus mit 9 und mehr Stockwerken,11,q10
soep-is,soep-is-2011,q10,9,No answer,Keine Angabe,12,q10
soep-is,soep-is-2011,q101,1,"Yes, my identical twin","Ja, eineiig",13,q101
soep-is,soep-is-2011,q101,2,"Yes, my fraternal sister","Ja, eine zweieiige Schwester",14,q101
soep-is,soep-is-2011,q101,3,"Yes, my fraternal brother","Ja, ein zweieiiger Bruder",15,q101
soep-is,soep-is-2011,q101,4,No,Nein,16,q101
soep-is,soep-is-2011,q101,9,No answer,Keine Angabe,17,q101
soep-is,soep-is-2011,q106,1,Son,Ihr Sohn,21,q106
soep-is,soep-is-2011,q106,2,Daughter,Ihre Tochter,22,q106
soep-is,soep-is-2011,q108,1,Here in this household,Hier im Haushalt,23,q108
soep-is,soep-is-2011,q108,2,Here in this town,Hier am Ort,24,q108
soep-is,soep-is-2011,q108,3,Elsewhere in West Germany,Woanders in Westdeutschland,25,q108
soep-is,soep-is-2011,q108,4,Elsewhere in East Germany,Woanders in Ostdeutschland,26,q108
soep-is,soep-is-2011,q108,5,Abroad,Im Ausland,27,q108
soep-is,soep-is-2011,q108,6,Has died,Ist verstorben,28,q108
soep-is,soep-is-2011,q108,9,No answer,Keine Angabe,29,q108
soep-is,soep-is-2011,q109_2,-2,No answer,Keine Angabe,33,q109_2
soep-is,soep-is-2011,q109_2,0,In the same household,Hier im selben Haushalt,34,q109_2
soep-is,soep-is-2011,q109_2,1,In the same house,Hier im selben Haus,35,q109_2
soep-is,soep-is-2011,q109_2,2,In the same neighborhood,In der Nachbarschaft,36,q109_2
soep-is,soep-is-2011,q109_2,3,"In the same town, but more than 15 minutes away by foot","Im gleichen Ort, aber mehr als 15 Minuten Fußweg",37,q109_2
soep-is,soep-is-2011,q109_2,4,"In another town, but within a one hour drive","In einem anderen Ort, aber innerhalb 1 Stunde erreichbart",38,q109_2
soep-is,soep-is-2011,q109_2,5,Farther away (but in Germany),Weiter entfernt (aber in Deutschland),39,q109_2
soep-is,soep-is-2011,q109_2,6,Abroad,Im Ausland,40,q109_2
soep-is,soep-is-2011,q11,1,Yes,Ja,41,q11
soep-is,soep-is-2011,q11,2,No,Nein,42,q11
soep-is,soep-is-2011,q11,9,No answer,Keine Angabe,43,q11
soep-is,soep-is-2011,q11111,1,Start test now,Test jetzt starten,46,q11111
soep-is,soep-is-2011,q11111,2,"Do not perform test, because","Test nicht durchführen, weil",47,q11111
soep-is,soep-is-2011,q11113,1,Very good,sehr gut,48,q11113
soep-is,soep-is-2011,q11113,2,Good,gut,49,q11113
soep-is,soep-is-2011,q11113,3,Satisfactory,befriedigend,50,q11113
soep-is,soep-is-2011,q11113,4,Sufficient,ausreichend,51,q11113
soep-is,soep-is-2011,q11113,5,Poor/Fail,mangelhaft,52,q11113
soep-is,soep-is-2011,q11113,6,Very poor/ Fail,ungenügend,53,q11113
