study,dataset,distribution,version
soep-is,bio,2012,2012
soep-is,bioage,2012,2012
soep-is,biobirth,2012,2012
soep-is,biobrthm,2012,2012
soep-is,h,2012,2012
soep-is,hbrutto,2012,2012
soep-is,hgen,2012,2012
soep-is,hhrf,2012,2012
soep-is,hpfad,2012,2012
soep-is,inno,2012,2012
soep-is,kid,2012,2012
soep-is,p,2012,2012
soep-is,pbrutto,2012,2012
soep-is,pgen,2012,2012
soep-is,phrf,2012,2012
soep-is,ppfad,2012,2012
soep-is,bio,2012.1,2012.1
soep-is,biobirth,2012.1,2012.1
soep-is,biobrthm,2012.1,2012.1
soep-is,h,2012.1,2012.1
soep-is,hbrutto,2012.1,2012.1
soep-is,ppfad,2012.1,2012.1
soep-is,hpfad,2012.1,2012.1
soep-is,inno,2012.1,2012.1
soep-is,kid,2012.1,2012.1
soep-is,p,2012.1,2012.1
soep-is,pbrutto,2012.1,2012.1
soep-is,bioage,2012.1,2012.1
soep-is,hgen,,2012.1
soep-is,hhrf,,2012.1
soep-is,pgen,,2012.1
soep-is,phrf,,2012.1
