output_study,output_dataset,output_version,output_variable,input_study,input_dataset,input_version,input_variable,,,
soep-is,is_hl,v1,HLK0005,soep-core,zh,v29,zausku,,,
soep-is,is_hl,v1,HLK0005,soep-core,bah,v29,baausku,,,
soep-is,is_hl,v1,HLK0005,soep-is,h_11,v1,ispnr,,,
soep-is,is_hl,v1,HLK0003,soep-core,zh,v29,intid,,,
soep-is,is_hl,v1,HLC0031,soep-core,zh,v29,zh4701,,,
soep-is,is_hl,v1,HLC0031,soep-core,bah,v29,bah4701,,,
soep-is,is_hl,v1,HLC0032,soep-core,zh,v29,zh4702,,,
soep-is,is_hl,v1,HLC0032,soep-core,bah,v29,bah4702,,,
soep-is,is_hl,v1,HLC0033,soep-core,zh,v29,zh4703,,,
soep-is,is_hl,v1,HLC0033,soep-core,bah,v29,bah4703,,,
soep-is,is_hl,v1,HLC0034,soep-core,zh,v29,zh4704,,,
soep-is,is_hl,v1,HLC0034,soep-core,bah,v29,bah4704,,,
soep-is,is_hl,v1,HLC0036,soep-core,zh,v29,zh48,,,
soep-is,is_hl,v1,HLC0036,soep-core,bah,v29,bah48,,,
soep-is,is_hl,v1,HLC0075,soep-core,zh,v29,zh3701,,,
soep-is,is_hl,v1,HLC0075,soep-core,bah,v29,bah3701,,,
soep-is,is_hl,v1,HLC0076,soep-core,zh,v29,zh3702,,,
soep-is,is_hl,v1,HLC0076,soep-core,bah,v29,bah3702,,,
soep-is,is_hl,v1,HLF0019,soep-core,zh,v29,zh10,,,
soep-is,is_hl,v1,HLF0019,soep-core,bah,v29,bah10,,,
soep-is,is_hl,v1,HLF0019,soep-is,h_11,v1,ishqm,,,
soep-is,is_hl,v1,HLF0021,soep-core,zh,v29,zh11,,,
soep-is,is_hl,v1,HLF0021,soep-core,bah,v29,bah11,,,
soep-is,is_hl,v1,HLF0011,soep-core,zh,v29,zh22,,,
soep-is,is_hl,v1,HLF0011,soep-core,bah,v29,bah22,,,
soep-is,is_hl,v1,HLF0165,soep-core,bah,v29,bah7109,,,
soep-is,is_hl,v1,HLF0231,soep-core,bah,v29,bah7109a,,,
soep-is,is_hl,v1,HLF0228,soep-core,bah,v29,bah7108,,,
soep-is,is_hl,v1,HLF0229,soep-core,bah,v29,bah7108a,,,
soep-is,is_hl,v1,HLF0169,soep-core,bah,v29,bah7114,,,
soep-is,is_hl,v1,HLF0170,soep-core,bah,v29,bah7114a,,,
soep-is,is_hl,v1,HLF0236,soep-core,bah,v29,bah7112,,,
