study,dataset,label,description,conceptual_dataset,analysis_unit,period
soep-is,pgen,Person-related Status and Generated Variables,,gen,p,long
soep-is,hbrutto,,,org/gross,h,long
soep-is,pbrutto,,,org/gross,p,long
soep-is,bioage,,,org/net ,p,long
soep-is,h,,,org/net ,h,long
soep-is,inno,,,org/net ,p,long
soep-is,p,,,org/net ,p,long
soep-is,bio,,,org/net ,p,NA
soep-is,HBRU2011i,,,raw,,2011
soep-is,INNO2011_BERUFE_MC_ISCO,,,raw,,2011
soep-is,INNO2011_BRANCHEN_NACE,,,raw,,2011
soep-is,Innomodul11,,,raw,,2011
soep-is,Intband2011i,,,raw,,2011
soep-is,MIC_INNO2011,,,raw,,2011
soep-is,ap11_Inno_final,,,raw,,2011
soep-is,h11_Inno_final,,,raw,,2011
soep-is,l11_inno_Jahresangabe Heirat,,,raw,,2011
soep-is,l11_inno_final,,,raw,,2011
soep-is,ma11_Inno_final,,,raw,,2011
soep-is,mb11_inno_final,,,raw,,2011
soep-is,mc11_Inno_final,,,raw,,2011
soep-is,p11_Inno_final,,,raw,,2011
soep-is,pbru2011i,,,raw,,2011
soep-is,CSM12_IS_W4,,,raw,,2012
soep-is,DRM12_IS_W4,,,raw,,2012
soep-is,H12_IS_W4,,,raw,,2012
soep-is,L12_IS_W4,,,raw,,2012
soep-is,L12_IS_W4_PFAMST,,,raw,,2012
soep-is,MA12_IS_W4,,,raw,,2012
soep-is,MB12_IS_W4,,,raw,,2012
soep-is,MC12_IS_W4,,,raw,,2012
soep-is,P12_IS_W4,,,raw,,2012
soep-is,SOEP_IS_W4_Berufe_Branchen,,,raw,,2012
soep-is,Selbstwert Fragen & respid,,,raw,,2012
soep-is,gew12_IS_W4,,,raw,,2012
soep-is,hbru_2012_IS_W4,,,raw,,2012
soep-is,intband_2012_IS_W4,,,raw,,2012
soep-is,pbru_2012_IS_W4,,,raw,,2012
soep-is,hhrf,,,survey,h,long
soep-is,phrf,,,survey,p,long
soep-is,kid,Pooled Dataset on Children,,track ,p,long
soep-is,biobirth,Birth Biography of Female Respondents,,track ,p,NA
soep-is,biobrthm,Birth Biography of Male Respondents,,track ,p,NA
soep-is,hpfad,,,track ,h,NA
soep-is,ppfad,Person-related Meta-dataset,,track ,p,NA
soep-is,hgen,Household-related Status and Generated Variables,,,h,long
soep-is,notdirectlydelivered11,,,raw,,2011
soep-is,notdirectlydelivered12,,,raw,,2012
soep-is,hbru_2012_IS_Aufwuchs,,,raw,,2012
soep-is,Intband_2012_IS_Aufwuchs,,,raw,,2012
soep-is,pbru_2012_IS_Aufwuchs,,,raw,,2012
soep-is,IS_BERUFE_BRANCHEN,,,raw,,2012
soep-is,CSM12_IS,,,raw,,2012
soep-is,DRM12_IS,,,raw,,2012
soep-is,FM12_IS,,,raw,,2012
soep-is,GM12_IS,,,raw,,2012
soep-is,H12_IS,,,raw,,2012
soep-is,L12_IS,,,raw,,2012
soep-is,MA12_IS,,,raw,,2012
soep-is,MB12_IS,,,raw,,2012
soep-is,MC12_IS,,,raw,,2012
soep-is,MEM12_IS,,,raw,,2012
soep-is,P12_IS,,,raw,,2012
soep-is,SIM12_IS,,,raw,,2012
soep-is,notdirectlydelivered12a,,,raw,,2012
