study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,CSM12_IS_W4,csm0101,,,soep-is-2012-haupt,csm0101,Q234,csm0101,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0102,,,soep-is-2012-haupt,csm0102,Q234,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm02,,,soep-is-2012-haupt,csm02,Q235,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm03,,,soep-is-2012-haupt,csm03,Q236,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0401,,,soep-is-2012-haupt,csm0401,Q237a,csm0401,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0402,,,soep-is-2012-haupt,csm0402,Q237a,csm0402,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0403,,,soep-is-2012-haupt,csm0403,Q237a,csm0403,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0404,,,soep-is-2012-haupt,csm0404,Q237a,csm0404,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0405,,,soep-is-2012-haupt,csm0405,Q237a,csm0405,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0406,,,soep-is-2012-haupt,csm0406,Q237a,csm0406,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0407,,,soep-is-2012-haupt,csm0407,Q237b,csm0407,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0408,,,soep-is-2012-haupt,csm0408,Q237b,csm0408,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0409,,,soep-is-2012-haupt,csm0409,Q237b,csm0409,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0410,,,soep-is-2012-haupt,csm0410,Q237b,csm0410,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0411,,,soep-is-2012-haupt,csm0411,Q237b,csm0411,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0412,,,soep-is-2012-haupt,csm0412,Q237b,csm0412,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0501,,,soep-is-2012-haupt,csm0501,Q230,csm0501,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0502,,,soep-is-2012-haupt,csm0502,Q230,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm06,,,soep-is-2012-haupt,csm06,Q231,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm07,,,soep-is-2012-haupt,csm07,Q232,,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0801,,,soep-is-2012-haupt,csm0801,Q233a,csm0801,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0802,,,soep-is-2012-haupt,csm0802,Q233a,csm0802,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0803,,,soep-is-2012-haupt,csm0803,Q233a,csm0803,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0804,,,soep-is-2012-haupt,csm0804,Q233a,csm0804,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0805,,,soep-is-2012-haupt,csm0805,Q233a,csm0805,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0806,,,soep-is-2012-haupt,csm0806,Q233a,csm0806,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0807,,,soep-is-2012-haupt,csm0807,Q233b,csm0807,,,,,raw,2012
soep-is,CSM12_IS_W4,csm0808,,,soep-is-2012-haupt,csm0808,Q233b,csm0808,,,,,raw,2012
