study,questionnaire,concept,question,item,number,text_de,text,instruction_de,instruction,answer_list,scale,filter,goto,label,description,dummy,meta,view_sort_id,view_lft,view_rgt,view_import_note,view_import_concept,view_import_type,view_first_concept,view_calculated_number,,,label_de,,,,,
soep-is,soep-is-2011,lela,Q1,,Q1,Neu zu befragende Person,New respondent,Wird anhand der Infos aus der Paneldatei (bei erstmals zu befragenden Jugendlichen) bzw. beim Anlegen einer neuen Person automatisch generiert.,,q1,cat,,,Pre-filter for controlling life course questions,,,,1,,8635,,,,,,,,,,,,,
soep-is,soep-is-2011,,A000C,,A000C,A000C,A000C,"Bitte machen Sie folgende Angaben zur Zielperson. Bitte vergessen Sie nicht, diese Angaben auch ins Adressenprotokoll zu übertragen!",,,txt,,,,,,,2,8634,8641,,,,,,,,,,,,,
soep-is,soep-is-2011,,A000C,1,A000C,Personennummer laut Adressenprotokoll,Person number according to adress protocol,,,,int,,,,,,,3,,,,,,,,,,,,,,,
soep-is,soep-is-2011,name,A000C,name,A000C,Vorname der Befragungsperson,First name of respondent,,,,chr,,,,,,,4,,,,,,,,,,,,,,,
soep-is,soep-is-2011,lsex,A000C,lsex,A000C,Geschlecht,Sex,,,q3,cat,,,,,,,5,,,,,,,,,,,,,,,
soep-is,soep-is-2011,lgeb,A000C,lgeb,A000C,Geburtsjahr,Year of Birth,,,,int,,,,,,,6,,,,,,,,,,,,,,,
soep-is,soep-is-2011,lgebmo,A000C,lgebmo,A000C,Geburtsmonat,Month of Birth,,,,int,,,,,,,7,,,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q6,,Q5,"Ist die Befragungsperson der Haushaltsvorstand beziehungsweise die Person, die die Fragen zum Haushalt beantwortet?","Is the respondent the head of household, the person who answers the questions about the household?","Die Fragen zum Haushalt soll diejenige Person beantworten, die am besten über die Belange des Gesamthaushalts und der anderen Haushaltsmitglieder Auskunft geben kann. Sofern bekannt, ist diese Person im Adressprotokoll mit * gekennzeichnet. Wichtiger Hinweis: Die Fragen zum Haushalt müssen grundsätzlich für jeden Haushalt einmal ausgefüllt werden. Ohne diesen Fragenteil sind alle anderen Fragen für die Datenauswertung unbrauchbar!",,q6,cat,,,,,,,8,8635,8642,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q7,,Q7,Zunächst geht es um Fragen zu Ihrem Haushalt als Ganzen.,We'll start with questions about your household as a whole. ,,,,txt,,,,,,,9,8641,8643,,,,,,,,,,,,,
soep-is,soep-is-2011,hvj,Q8,,Q8,"Haben Sie bei unserer letzten Befragung, also vor ungefähr einem Jahr,
schon in dieser Wohnung gelebt?",Did you already live in this flat the last time we interviewed you about a year ago?,"Achtung:
Wenn der Haushalt das erste Mal an dieser Adresse befragt wird,
oder wenn sich der Hinweis ""Neue Adresse von ...""
über der Anschrift im Adressenprotokoll befindet,
müssen Sie diese Frage mit „Nein"" beantworten!",,q8,cat,,,,,,,10,8642,8644,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q9,,Q9,Seit wann leben Sie in dieser Wohnung?,When did you move into this dwelling?,,,,txt,"Q8;HVJ=2,9 and Q8 : HVJ=1",,,,,,11,8643,8647,,,,,,,,,,,,,
soep-is,soep-is-2011,hwj,Q9,hwj,Q9,Jahr,Year,,,,int,,,,,,,12,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hwm,Q9,hwm,Q9,Monat,Month,,,,int,,,,,,,13,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hhtyp,Q10,,Q10,"Was ist das für ein Haustyp, in dem Sie hier wohnen?",What kind of a house is it in which you live?,Liste 10 vorlegen,,q10,cat,"Q8;HVJ=2,9",,,,,,14,8644,8648,,,,,,,,,,,,,
soep-is,soep-is-2011,hheim,Q11,,Q11,"Handelt es sich um ein Wohnheim, eine Pension oder eine ähnliche Unterkunft?","Is it a rooming house, guesthouse, or a similar accommodation?",,,q11,cat,"Q8;HVJ=2,9",,,,,,15,8647,8649,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn09,Q12,,Q12,"Wann wurde das Haus, in dem Ihre Wohnung liegt, etwa erbaut?","When, approximately, was the house built in which your flat is located?",Liste 12 vorlegen,,q12,cat,"Q8;HVJ=2,9",,,,,,16,8648,8650,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn09a,Q13.1,,Q13,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",Can you also provide the exact year in which the house was built?,,,q1301,cat,Q12;HWOHN09=4,,,,,,17,8649,8651,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn09a,Q13.2,,Q13,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",Can you also provide the exact year in which the house was built?,,,q1302,cat,Q12;HWOHN09=5,,,,,,18,8650,8652,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn09a,Q13.3,,Q13,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",Can you also provide the exact year in which the house was built?,,,q1303,cat,Q12;HWOHN09=6,,,,,,19,8651,8653,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn09a,Q13.4,,Q13,"Können Sie das Jahr, in dem das Haus erbaut wurde, auch genau nennen?",Can you also provide the exact year in which the house was built?,,,q1304,cat,Q12;HWOHN09=7,,,,,,20,8652,8654,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q14,,Q14,Wie groß ist die Wohnfläche dieser Wohnung insgesamt?,How large is the total living space in this flat?,,,,txt,"Q8;HVJ=2,9",,,,,,21,8653,8656,,,,,,,,,,,,,
soep-is,soep-is-2011,hqm,Q14,hqm,Q14,qm,qm,,,,int,,,,,,,22,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hwohn08,Q15,,Q15,Wie würden Sie die Wohngegend hier beschreiben?,How would you describe your neighborhood?,"Antwortvorgaben bitte vorlesen!
Liste 15 vorlegen",,q15,cat,,,,,,,23,8654,8657,,,,,,,,,,,,,
soep-is,soep-is-2011,hzus,Q16,,Q16,"Wie beurteilen Sie den Zustand des Hauses, in dem Sie wohnen? Ist es in gutem Zustand, teilweise renovierungsbedürftig, ganz renovierungsbedürftig oder abbruchreif?","How would you characterize the condition of the house in which you live? Is it in good condition, in need of partial renovation, in need of complete renovation, or ready for demolition?",,,q16,cat,,,,,,,24,8656,8658,,,,,,,,,,,,,
soep-is,soep-is-2011,,Q17,,Q17,Welche der folgenden Punkte treffen für Ihren Haushalt zu?,Which of the following applies to you?,Liste 17 vorlegen,,,txt,,,,,,,25,8657,8670,,,,,,,,,,,,,
soep-is,soep-is-2011,hh01,Q17,hh01,Q17,Es gibt einen Farbfernseher im Haushalt,The household has a color television,,,q1701,cat,,,,,,,26,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh02,Q17,hh02,Q17,Es gibt ein Telefon im Haushalt,The household has a telephone,,,q1701,cat,,,,,,,27,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh11,Q17,hh11,Q17,Es gibt einen Internet-Anschluss im Haushalt,The household has an internet access,,,q1701,cat,,,,,,,28,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh03,Q17,hh03,Q17,Es gibt ein Auto im Haushalt,The household has a car,,,q1701,cat,,,,,,,29,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh05,Q17,hh05,Q17,"Die Wohnung liegt in einem Haus, das in einem guten Zustand ist",The flat is located in a building which is in good condition,,,q1701,cat,,,,,,,30,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh06,Q17,hh06,Q17,Das Haus liegt in einer guten Wohngegend,The building is located in a good neighborhood,,,q1701,cat,,,,,,,31,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh07,Q17,hh07,Q17,Ich habe finanzielle Rücklagen für Notfälle,I have put some money aside for emergencies,,,q1701,cat,,,,,,,32,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh08,Q17,hh08,Q17,Ich mache jedes Jahr eine mindestens einwöchige Urlaubsreise,I take a vacation away from home for at least one week every year,,,q1701,cat,,,,,,,33,,,,,,,,,,,,,,,
soep-is,soep-is-2011,hh09,Q17,hh09,Q17,Ich lade mindestens einmal im Monat Freunde zum Essen zu mir ein,I invite friends over for dinner at least once a month,,,q1701,cat,,,,,,,34,,,,,,,,,,,,,,,
